Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Addicted to Love,WB,"$34,673,095","2,021","$11,446,098","2,007",5/23/1997
The Addiction,Oct.,"$307,308",14,"$46,448",7,10/6/1995
Addiction Incorporated,Vari.,"$40,106",5,"$1,629",1,12/14/2011
The Adjuster,OrionC,"$396,573",18,"$10,686",1,5/29/1992
The Adjustment Bureau,Uni.,"$62,495,645","2,847","$21,157,730","2,840",3/4/2011
The Admiral: Roaring Currents,CJ,"$2,589,811",45,"$51,431",1,8/8/2014
Admission,Focus,"$18,007,317","2,161","$6,154,984","2,160",3/22/2013
Adoration,SPC,"$294,244",20,"$39,358",10,5/8/2009
Adore,EXCL,"$318,982",57,"$119,806",57,9/6/2013
Adored: Diary of a Male Porn Star,Wlfe.,"$41,703",3,"$5,005",3,4/2/2004
Adrenaline Rush: The Science of Risk (IMAX),GSF,"$10,994,028",17,n/a,n/a,10/18/2002
Adrift in Manhattan,Scre.,"$2,099",1,"$2,099",1,9/21/2007
Adult Beginners,RTWC,"$108,808",54,"$36,657",10,4/24/2015
Adult World,IFC,"$25,368",11,"$3,783",2,2/14/2014
Advanced Style,B360,"$87,879",12,"$6,500",1,9/26/2014
Adventureland,Mira.,"$16,044,025","1,876","$5,722,039","1,862",4/3/2009
The Adventurer: The Curse of the Midas Box,TFA,"$6,399",82,"$4,756",82,1/10/2014
Adventures in Babysitting,BV,"$34,368,475","1,148","$2,901,297","1,126",7/3/1987
Adventures of a Young Man,Fox,n/a,n/a,n/a,n/a,7/25/1962
Adventures of American Rabbit,Atl,"$1,268,443",242,"$291,126",242,1/17/1986
The Adventures of Baron Munchausen,Col.,"$8,083,123",120,"$597,400",46,3/10/1989
The Adventures of Buckaroo Banzai,Fox,"$6,254,148",236,"$620,279",236,8/10/1984
Adventures of Don Juan,WB,n/a,n/a,n/a,n/a,12/1/1948
The Adventures of Elmo in Grouchland,Sony,"$11,683,047","1,210","$3,255,033","1,210",10/1/1999
The Adventures of Felix,Wells,"$363,409",8,"$13,275",1,6/15/2001
The Adventures of Ford Fairlane,Fox,"$21,413,502","1,263","$6,374,391","1,245",7/13/1990
The Adventures of Huck Finn,BV,"$24,103,594","1,803","$5,033,029","1,786",4/2/1993
The Adventures of Marco Polo,MGM,n/a,n/a,n/a,n/a,4/15/1938
